,Date,BCI,BCIp,BCIg,USRECD,IE_SP_Comp,IE_SP_Dividend,IE_SP_Earnings,IE_Consumer_CPI,IE_Long_Interest,IE_Real_Price,IE_Real_Dividend,IE_Return_Price,IE_Real_Earnings,IE_Scaled_Earnings,IE_Monthly_Returns,IE_Real_Returns
218,1971-04-15,4.5612182984589085,6.5868610723242424,3.8979240810486444,0,4.601162164590552,1.1346227261911428,1.6524974018945473,3.6888794541139363,1.7404661748405046,6.521769216411457,3.055415275715165,11.55724890626476,3.5731879796177446,8.608584794526633,-0.01005033585350145,2.4874035299865875
219,1971-04-22,4.562262684976814,6.5869988988009265,3.899950424193877,0,4.601162164590552,1.1346227261911428,1.6524974018945473,3.6888794541139363,1.7404661748405046,6.521769216411457,3.055415275715165,11.55724890626476,3.5731879796177446,8.608584794526633,-0.01005033585350145,2.4874035299865875
220,1971-04-29,4.570578741218473,6.5869988988009265,3.914021008090819,0,4.601162164590552,1.1346227261911428,1.6524974018945473,3.6888794541139363,1.7404661748405046,6.521769216411457,3.055415275715165,11.55724890626476,3.5731879796177446,8.608584794526633,-0.01005033585350145,2.4874035299865875
221,1971-05-06,4.576770711466393,6.5869988988009265,3.933784497209659,0,4.634728988229636,1.1346227261911428,1.6582280766035324,3.6913763343125234,1.763017000362401,6.55283593593108,3.0516399054922867,11.590829117264395,3.576829950305313,8.614962164092159,-0.040821994520255166,2.479894107964456
222,1971-05-13,4.576770711466393,6.5869988988009265,3.9454577815143836,0,4.634728988229636,1.1346227261911428,1.6582280766035324,3.6913763343125234,1.763017000362401,6.55283593593108,3.0516399054922867,11.590829117264395,3.576829950305313,8.614962164092159,-0.040821994520255166,2.479894107964456
223,1971-05-20,4.574710978503383,6.5807778239227135,3.9531649487593215,0,4.634728988229636,1.1346227261911428,1.6582280766035324,3.6913763343125234,1.763017000362401,6.55283593593108,3.0516399054922867,11.590829117264395,3.576829950305313,8.614962164092159,-0.040821994520255166,2.479894107964456
224,1971-05-27,4.572646994282532,6.576330283582437,3.9473901492654373,0,4.634728988229636,1.1346227261911428,1.6582280766035324,3.6913763343125234,1.763017000362401,6.55283593593108,3.0516399054922867,11.590829117264395,3.576829950305313,8.614962164092159,-0.040821994520255166,2.479894107964456
225,1971-06-03,4.572646994282532,6.57702651698799,3.9357395320454622,0,4.6210435351443815,1.1314021114911006,1.665818245870208,3.696351468952637,1.8547342683894434,6.534181202808643,3.045474365448805,11.574710730626002,3.5782271840103412,8.618855878525604,0.0,2.4388627112865935
226,1971-06-10,4.575741375297279,6.5849295043947755,3.9259259105971376,0,4.6210435351443815,1.1314021114911006,1.665818245870208,3.696351468952637,1.8547342683894434,6.534181202808643,3.045474365448805,11.574710730626002,3.5782271840103412,8.618855878525604,0.0,2.4388627112865935
227,1971-06-17,4.575741375297279,6.583132558718074,3.919991175077323,0,4.6210435351443815,1.1314021114911006,1.665818245870208,3.696351468952637,1.8547342683894434,6.534181202808643,3.045474365448805,11.574710730626002,3.5782271840103412,8.618855878525604,0.0,2.4388627112865935
228,1971-06-24,4.570578741218473,6.571862874225933,3.9080149840306073,0,4.6210435351443815,1.1314021114911006,1.665818245870208,3.696351468952637,1.8547342683894434,6.534181202808643,3.045474365448805,11.574710730626002,3.5782271840103412,8.618855878525604,0.0,2.4388627112865935
229,1971-07-01,4.5685062016165,6.56709428173947,3.8958936234982624,0,4.6023662586553575,1.1314021114911006,1.6714733033535532,3.703768066607687,1.8748743759385615,6.508083357914735,3.0373539482448106,11.551204099891747,3.5771095532709265,8.620310994072257,-0.01005033585350145,2.4265710727750367
230,1971-07-08,4.571613402459248,6.573261084744552,3.883623530906448,0,4.6023662586553575,1.1314021114911006,1.6714733033535532,3.703768066607687,1.8748743759385615,6.508083357914735,3.0373539482448106,11.551204099891747,3.5771095532709265,8.620310994072257,-0.01005033585350145,2.4265710727750367
