,Date,BCI,BCIp,BCIg,USRECD
276,1972-05-25,4.690430029938915,6.5832709000062515,3.979681653901961,0
277,1972-06-01,4.699570861409576,6.5869988988009265,3.9871304779149517,0
278,1972-06-08,4.701389043728634,6.5869988988009265,3.9963641538618973,0
279,1972-06-15,4.702296896718814,6.5869988988009265,4.0055133485154855,0
280,1972-06-22,4.705015520957808,6.5869988988009265,4.01096295328305,0
281,1972-06-29,4.707726774313183,6.5869988988009265,4.009149716158869,0
282,1972-07-06,4.707726774313183,6.5869988988009265,4.0055133485154855,0
283,1972-07-13,4.707726774313183,6.586171654854675,4.000033882750859,0
284,1972-07-20,4.700480365792417,6.570182436916891,3.983413001514819,0
285,1972-07-27,4.706823839714591,6.58423875352114,3.9721769282478934,0
286,1972-08-03,4.7104306966455844,6.5869988988009265,3.9646154555473165,0
287,1972-08-10,4.718498871295094,6.5869988988009265,3.9646154555473165,0
288,1972-08-17,4.727387818712341,6.5869988988009265,3.9815490680767565,0
289,1972-08-24,4.73356340075649,6.5869988988009265,3.9982007016691985,0
290,1972-08-31,4.735320870453137,6.5869988988009265,4.012772908528289,0
291,1972-09-07,4.73795129722191,6.5869988988009265,4.021773869387265,0
292,1972-09-14,4.735320870453137,6.579806613301801,4.018183201256536,0
293,1972-09-21,4.735320870453137,6.581055139509627,4.007333185232471,0
294,1972-09-28,4.746669748261791,6.5869988988009265,4.009149716158869,0
295,1972-10-05,4.757032535297338,6.5869988988009265,4.0163830207523885,0
296,1972-10-12,4.762173934797756,6.5869988988009265,4.030694535145645,0
297,1972-10-19,4.761318868478023,6.584791392385716,4.04305126783455,0
298,1972-10-26,4.768139014266231,6.5869988988009265,4.051784947803305,0
299,1972-11-02,4.774912960575186,6.5869988988009265,4.055257173514054,0
300,1972-11-09,4.782479200958502,6.5869988988009265,4.062165663857866,0
301,1972-11-16,4.786658062033468,6.5869988988009265,4.072439726834051,0
302,1972-11-23,4.791649752930709,6.5869988988009265,4.079230924412053,0
303,1972-11-30,4.802380355275797,6.5869988988009265,4.091005660956586,0
304,1972-12-07,4.807294370078226,6.5869988988009265,4.09933210373314,0
305,1972-12-14,4.8178592793984425,6.5869988988009265,4.11414718951828,0
306,1972-12-21,4.819474788635096,6.5869988988009265,4.12552017969055,0
307,1972-12-28,4.808111029984782,6.56018164928975,4.11414718951828,0
308,1973-01-04,4.810557015713042,6.566953684199695,4.100989104940769,0
309,1973-01-11,4.816241156068032,6.5793900912548215,4.084294226368599,0
310,1973-01-18,4.819474788635096,6.586585362369367,4.069026754237811,0
311,1973-01-25,4.820281565605037,6.5869988988009265,4.067315889834181,0
312,1973-02-01,4.821893169499378,6.5869988988009265,4.065602093356447,0
313,1973-02-08,4.822697998516666,6.5869988988009265,4.05871738457895,0
314,1973-02-15,4.826712455935327,6.5869988988009265,4.053522567701846,0
315,1973-02-22,4.827513417131532,6.5869988988009265,4.048300623720694,0
316,1973-03-01,4.824305715904762,6.579667791895317,4.037774210733707,0
317,1973-03-08,4.825910852685991,6.582163633457136,4.028916756899646,0
318,1973-03-15,4.8307108619020225,6.5869988988009265,4.021773869387265,0
319,1973-03-22,4.8283137373023015,6.5807778239227135,4.009149716158869,0
320,1973-03-29,4.819474788635096,6.559615237493242,3.9908341858524357,0
321,1973-04-05,4.8178592793984425,6.556210012863403,3.970291913552122,0
322,1973-04-12,4.819474788635096,6.5597568705223015,3.9473901492654373,0
323,1973-04-19,4.821087692210561,6.5641375742000525,3.927896354584436,0
324,1973-04-26,4.820281565605037,6.56159627677138,3.918005077105694,0
325,1973-05-03,4.810557015713042,6.539874931201244,3.899950424193877,0
326,1973-05-10,4.817050545023591,6.554930058198152,3.885679030088544,0
327,1973-05-17,4.810557015713042,6.538573882951219,3.8628327612373745,0
328,1973-05-24,4.802380355275797,6.519147287940395,3.8308129500026027,0
329,1973-05-31,4.804021044733257,6.523562306149512,3.8133070324889884,0
330,1973-06-07,4.793308128103486,6.498583308942647,3.775057150354989,0
331,1973-06-14,4.798266815950004,6.5096629252033855,3.7495040759303713,0
332,1973-06-21,4.791649752930709,6.494661143709481,3.728100167267218,0
333,1973-06-28,4.786658062033468,6.481270803649897,3.6988297849671046,0
334,1973-07-05,4.784988612563928,6.47774129795256,3.681351187693145,0
335,1973-07-12,4.784988612563928,6.476510717886486,3.655839600035736,0
336,1973-07-19,4.787491742782046,6.483107351457199,3.6428355156125294,0
337,1973-07-26,4.791649752930709,6.49299712396238,3.6402142821326553,0
338,1973-08-02,4.793308128103486,6.498282149476434,3.6428355156125294,0
339,1973-08-09,4.787491742782046,6.48402436206708,3.6402142821326553,0
340,1973-08-16,4.778282803696737,6.461624414147958,3.61899332664977,0
341,1973-08-23,4.767289035464526,6.432940092739179,3.580737295494233,0
342,1973-08-30,4.763028270603671,6.422109953746444,3.5351453541718945,0
343,1973-09-06,4.763028270603671,6.421622267806518,3.4965075614664802,0
344,1973-09-13,4.760463070394127,6.415424237852311,3.4657359027997265,0
345,1973-09-20,4.758749273916392,6.411325535499879,3.4499875458315876,0
346,1973-09-27,4.763028270603671,6.421622267806518,3.446807892914208,0
347,1973-10-04,4.763881877142913,6.4245448222491195,3.446807892914208,0
348,1973-10-11,4.765586907393996,6.427943708745316,3.4531571205928664,0
349,1973-10-18,4.7664383335842135,6.431492099565257,3.462606009790799,0
350,1973-10-25,4.763028270603671,6.422759831917165,3.462606009790799,0
351,1973-11-01,4.763028270603671,6.422272462887942,3.4594662897861315,0
352,1973-11-08,4.752727750345706,6.396929655216146,3.4436180975461075,0
353,1973-11-15,4.748404354073999,6.38367553953773,3.417726683613366,0
354,1973-11-22,4.736198448394496,6.352803597173591,3.3775875160230218,0
355,1973-11-29,4.726502471155617,6.32686478076786,3.3250360206965914,0
356,1973-12-06,4.713127327493184,6.289901082457623,3.269568939183719,1
357,1973-12-13,4.71760561531788,6.302618975744905,3.226843994517378,1
358,1973-12-20,4.712229258281499,6.28711478920894,3.1945831322991562,1
359,1973-12-27,4.705015520957808,6.268338420843159,3.169685580677429,1
360,1974-01-03,4.706823839714591,6.271744289793001,3.169685580677429,1
361,1974-01-10,4.705015520957808,6.266441247062209,3.1612467120315646,1
362,1974-01-17,4.686750172980514,6.214808078424858,3.131136910560194,1
363,1974-01-24,4.685828089005546,6.212606095751519,3.1090609588609945,1
364,1974-01-31,4.677490847567717,6.1872369016260595,3.0726933146901194,1
365,1974-02-07,4.669083511731744,6.162893662735513,3.025291075795536,1
366,1974-02-14,4.659658371272161,6.133831788394904,2.990719731730447,1
367,1974-02-21,4.65586330030361,6.122712083717655,2.9496883350525844,1
368,1974-02-28,4.658710952916121,6.1310090745458785,2.939161922065597,1
369,1974-03-07,4.659658371272161,6.1349153295129435,2.9444389791664407,1
370,1974-03-14,4.664382045619937,6.148468295917647,2.980618635743943,1
371,1974-03-21,4.661550519424199,6.140961558253893,3.015534900850171,1
372,1974-03-28,4.657762636107262,6.12774216540053,3.0397491589707655,1
373,1974-04-04,4.647271362006727,6.095824562432225,3.0397491589707655,1
374,1974-04-11,4.6434288981051814,6.082903607424764,3.025291075795536,1
375,1974-04-18,4.642465970731788,6.0787883752796565,3.0106208860477417,1
376,1974-04-25,4.6434288981051814,6.0844994130751715,3.005682604407159,1
377,1974-05-02,4.637637376125593,6.065876044621793,3.015534900850171,1
378,1974-05-09,4.642465970731788,6.0792464604915155,3.0397491589707655,1
379,1974-05-16,4.641502115235482,6.077871574848721,3.063390922027806,1
